city;neighbourhood;total_listings;avg_price_eur;median_price_eur;p75_price_eur;p90_price_eur;avg_reviews;avg_availability
London;City of London;465;219,39032258064515;172,5;230,0;345,0;15,89247311827957;169,3483870967742
London;Kensington and Chelsea;6018;249,858233632436;172,5;270,25;460,0;16,101362578929876;147,1488866733134
London;Westminster;9586;248,69151888170248;161,0;263,35;454,25;19,299081994575424;147,7183392447319
London;Camden;5971;166,09324233796684;115,0;189,75;287,5;22,002847094289063;124,25138167811087
London;Hammersmith and Fulham;4210;151,37305225653208;109,25;171,35;287,5;19,214726840855107;117,06033254156769
London;Islington;5108;129,51998825371965;103,5;149,5;230,0;18,264095536413468;91,50743931088489
London;Richmond upon Thames;1200;144,63933333333333;103,5;172,5;287,5;18,5725;117,28833333333333
London;Wandsworth;4272;134,7909293071161;97,75;166,75;258,5200000000002;14,384831460674157;93,32256554307116
London;Southwark;4891;125,67658965446738;92,0;138,0;218,5;21,435289306890205;99,80433449192394
London;Hackney;6275;110,13023107569721;86,25;126,5;187,45;14,762868525896414;75,68637450199203
London;Tower Hamlets;8240;105,45067354368932;82,8;129,95;194,35;18,72233009708738;114,11043689320388
London;Lambeth;4853;106,8239336492891;80,5;126,5;201,25;23,172676694827942;89,74634246857615
London;Merton;1357;124,78050847457627;79,35;143,75;259,2100000000001;10,185703758290346;109,97420781134856
London;Greenwich;1653;99,62840290381125;74,75;120,75;184,0;14,880822746521476;134,4174228675136
London;Hounslow;1030;113,97058252427185;71,875;128,79999999999998;230,0;17,528155339805824;138,63980582524272
London;Brent;2561;107,05238188207733;69,0;115,0;207,0;17,316282702069504;129,88988676298322
London;Newham;1958;95,41182328907048;67,85;115,0;201,25;16,124106230847804;125,11082737487231
London;Barnet;1659;100,83884870403857;63,24999999999999;109,25;172,5;11,852320675105485;142,5310427968656
London;Ealing;1746;91,74444444444444;63,24999999999999;109,25;180,55;18,166093928980526;128,3327605956472
London;Haringey;2197;103,29062357760583;63,24999999999999;109,25;172,5;15,965862539827038;95,525261720528
London;Kingston upon Thames;555;89,90513513513513;63,24999999999999;104,65;179,40000000000026;14,473873873873874;117,27207207207208
London;Waltham Forest;1431;81,50695317959469;59,8;102,35;149,5;12,0;109,79734451432564
London;Bromley;679;73,89977908689248;57,49999999999999;87,39999999999999;138,0;10,910162002945508;156,71281296023565
London;Enfield;673;75,28655274888558;57,49999999999999;92,0;138,0;10,312035661218426;163,65973254086182
London;Harrow;491;100,7081466395112;57,49999999999999;97,75;155,25;12,156822810590631;173,36048879837068
London;Lewisham;2296;79,80228658536585;57,49999999999999;93,15;143,75;13,584494773519165;101,82839721254355
London;Hillingdon;668;73,56729041916167;56,35;92,0;138,0;20,88622754491018;171,8682634730539
London;Barking and Dagenham;372;69,60900537634409;51,74999999999999;81,9375;137,88500000000005;7,779569892473118;158,63440860215053
London;Croydon;1105;73,01199095022625;51,74999999999999;86,25;115,69000000000003;12,141176470588235;150,6190045248869
London;Havering;255;84,608431372549;51,74999999999999;106,375;172,5;8,870588235294118;182,40392156862745
London;Redbridge;700;73,86614285714285;51,74999999999999;80,7875;138,0;12,51;166,2757142857143
London;Sutton;306;98,17843137254901;51,74999999999999;77,9125;135,125;14,261437908496733;139,7483660130719
London;Bexley;269;72,11226765799256;47,15;92,0;149,5;6,650557620817844;185,05947955390334
Madrid;Hellín;31;484,6774193548387;300,0;910,0;1000,0;6,935483870967742;202,0
Madrid;Rosas;80;428,275;275,0;712,5;1000,0;5,3125;188,0625
Madrid;Canillejas;77;495,1818181818182;200,0;500,0;1400,0000000000057;8,818181818181818;169,64935064935065
Madrid;Recoletos;272;161,58455882352942;110,5;195,0;296,70000000000005;18,878676470588236;158,40073529411765
Madrid;Fuentelareina;5;86,0;100,0;100,0;112,0;1,2;181,6
Madrid;Castellana;198;145,57575757575756;98,0;155,0;262,80000000000007;15,545454545454545;162,1060606060606
Madrid;Almagro;172;140,8081395348837;88,5;140,75;231,4000000000001;16,273255813953487;146,07558139534885
Madrid;Niño Jesús;44;194,86363636363637;87,0;200,0;312,80000000000007;21,931818181818183;179,54545454545453
Madrid;Valdefuentes;105;220,82857142857142;85,0;154,0;500,0;15,790476190476191;162,61904761904762
Madrid;El Viso;101;154,54455445544554;84,0;180,0;400,0;12,851485148514852;161,11881188118812
Madrid;Jerónimos;107;113,92523364485982;82,0;143,5;212,6000000000001;37,822429906542055;164,0467289719626
Madrid;Goya;296;180,75675675675674;81,5;135,0;203,0;25,070945945945947;150,90878378378378
Madrid;San Juan Bautista;32;172,8125;80,0;122,5;485,00000000000034;11,34375;130,3125
Madrid;Simancas;124;311,75;80,0;360,0;870,0000000000002;23,346774193548388;153,16129032258064
Madrid;Piovera;31;218,51612903225808;76,0;195,0;500,0;60,96774193548387;202,80645161290323
Madrid;Nueva España;69;102,0;75,0;120,0;183,80000000000004;23,507246376811594;203,47826086956522
Madrid;Sol;1124;128,47597864768684;75,0;110,0;192,10000000000014;55,62455516014235;163,80160142348754
Madrid;Cortes;880;196,07272727272726;74,0;120,0;202,30000000000007;50,50340909090909;178,98295454545453
Madrid;Hispanoamérica;90;120,61111111111111;72,5;115,25;250,0;21,166666666666668;201,0
Madrid;El Plantío;6;99,66666666666667;71,0;117,5;188,0;18,666666666666668;178,16666666666666
Madrid;Atocha;28;80,21428571428571;70,0;95,75;118,0;113,10714285714286;196,5
Madrid;Justicia;951;108,27549947423765;70,0;110,0;184,0;39,94006309148265;163,23659305993692
Madrid;Palomas;26;151,30769230769232;69,0;84,0;400,0;15,961538461538462;206,80769230769232
